"Table 1. Personal Income, by State and Region, 2019:Q2–2020:Q3",,,,,,,,,,,,
,"[Millions of dollars, seasonally adjusted at annual rate]",,,,,,[Seasonally adjusted at annual rate],,,,,
,2019,,,2020,,,Percent change from preceding quarter1,,,,,Rank
,Q2,Q3,Q4,Q1r,Q2r,Q3p,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,"2020:Q2–
2020:Q3"
United States ,"18,470,546","18,590,182","18,750,881","18,940,514","20,444,580","19,913,446",2.6,3.5,4.1,35.8,-10,--
   New England,"1,033,398","1,035,157","1,041,269","1,052,866","1,153,319","1,113,902",0.7,2.4,4.5,44,-13,--
    Connecticut ,"274,974","275,014","277,058","278,715","290,040","286,780",0.1,3,2.4,17.3,-4.4,3
    Maine ,"67,736","68,257","68,876","69,719","77,904","73,704",3.1,3.7,5,55.9,-19.9,40
    Massachusetts ,"510,545","511,391","513,753","520,058","584,111","560,430",0.7,1.9,5,59.1,-15.3,27
    New Hampshire ,"86,119","86,356","86,720","88,226","94,257","91,002",1.1,1.7,7.1,30.3,-13.1,21
    Rhode Island ,"59,662","59,596","60,173","60,982","68,070","65,198",-0.4,3.9,5.5,55.2,-15.8,31
    Vermont ,"34,362","34,543","34,690","35,167","38,936","36,787",2.1,1.7,5.6,50.3,-20.3,43
  Mideast,"3,259,933","3,274,398","3,298,183","3,331,324","3,597,962","3,515,565",1.8,2.9,4.1,36.1,-8.9,--
    Delaware ,"52,893","53,164","53,515","54,075","57,774","56,138",2.1,2.7,4.2,30.3,-10.9,16
    District of Columbia ,"58,670","58,970","59,434","60,316","63,366","63,064",2.1,3.2,6.1,21.8,-1.9,--
    Maryland ,"389,858","391,170","394,583","399,450","424,349","418,440",1.4,3.5,5,27.4,-5.5,6
    New Jersey ,"624,195","627,737","631,603","640,026","697,230","681,494",2.3,2.5,5.4,40.8,-8.7,11
    New York ,"1,393,285","1,399,483","1,409,240","1,422,090","1,517,053","1,481,339",1.8,2.8,3.7,29.5,-9.1,13
    Pennsylvania ,"741,032","743,874","749,808","755,367","838,191","815,090",1.5,3.2,3,51.6,-10.6,15
  Great Lakes,"2,450,228","2,466,667","2,483,560","2,500,475","2,738,233","2,641,713",2.7,2.8,2.8,43.8,-13.4,--
    Illinois ,"740,697","746,800","750,318","757,400","824,170","814,837",3.3,1.9,3.8,40.2,-4.5,4
    Indiana ,"325,937","328,882","331,228","333,779","358,459","348,001",3.7,2.9,3.1,33,-11.2,17
    Michigan ,"489,940","492,849","496,814","497,608","563,638","528,465",2.4,3.3,0.6,64.6,-22.7,47
    Ohio ,"584,277","588,075","592,456","597,658","652,912","624,345",2.6,3,3.6,42.4,-16.4,33
    Wisconsin ,"309,377","310,060","312,743","314,029","339,054","326,066",0.9,3.5,1.7,35.9,-14.5,23
  Plains,"1,137,359","1,153,060","1,159,525","1,169,738","1,267,500","1,208,709",5.6,2.3,3.6,37.9,-17.3,--
    Iowa ,"161,954","165,040","165,210","167,167","185,006","174,969",7.8,0.4,4.8,50,-20,42
    Kansas ,"154,401","156,431","157,626","158,635","169,322","162,545",5.4,3.1,2.6,29.8,-15.1,26
    Minnesota ,"329,792","333,245","335,309","337,990","366,182","349,868",4.3,2.5,3.2,37.8,-16.7,35
    Missouri ,"296,865","299,824","301,712","304,507","330,136","314,377",4,2.5,3.8,38.2,-17.8,39
    Nebraska,"104,269","106,309","107,079","108,145","116,168","111,443",8.1,2.9,4,33.1,-15.3,28
